date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,85.17,,,,,,,,926,,,actual
04-24-2021,85.47,,,,,,,,979,,,actual
05-01-2021,84.87,,,,,,,,871,,,actual
05-08-2021,85.16,643,612,773,84.51,86.91,643 [612 - 773],85.16% [84.51% - 86.91%],923,808,1237,projected
05-15-2021,84.64,576,544,790,83.46,89.48,576 [544 - 790],84.64% [83.46% - 89.48%],831,620,1697,projected
05-22-2021,84.18,499,467,791,82.72,93.03,499 [467 - 791],84.18% [82.72% - 93.03%],748,486,2333,projected
05-29-2021,83.6,423,394,732,82.16,96.68,423 [394 - 732],83.6% [82.16% - 96.68%],645,387,2985,projected
06-05-2021,83.05,365,332,655,81.65,97.92,365 [332 - 655],83.05% [81.65% - 97.92%],546,295,3207,projected
06-12-2021,82.6,275,243,522,81.15,96.22,275 [243 - 522],82.6% [81.15% - 96.22%],465,206,2903,projected
06-19-2021,81.97,199,172,384,80.68,93.0,199 [172 - 384],81.97% [80.68% - 93.0%],352,121,2326,projected
