date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
12-27-2020,8,8,8
12-28-2020,8,8,8
12-29-2020,7,7,8
12-30-2020,8,7,8
12-31-2020,7,7,8
01-01-2021,8,8,8
01-02-2021,8,8,8
01-03-2021,8,8,8
01-04-2021,8,8,9
01-05-2021,9,9,9
01-06-2021,8,8,8
01-07-2021,9,8,9
01-08-2021,9,9,10
01-09-2021,10,9,10
01-10-2021,10,9,10
01-11-2021,10,9,10
01-12-2021,10,9,11
01-13-2021,10,9,11
01-14-2021,10,9,11
01-15-2021,10,9,12
01-16-2021,11,10,12
01-17-2021,11,10,13
01-18-2021,11,10,13
01-19-2021,11,10,14
01-20-2021,12,10,15
01-21-2021,13,10,16
01-22-2021,13,10,16
01-23-2021,13,10,17
01-24-2021,13,10,17
01-25-2021,13,10,18
01-26-2021,14,10,18
01-27-2021,14,10,19
01-28-2021,14,10,20
01-29-2021,15,11,20
01-30-2021,15,11,21
01-31-2021,15,11,22
02-01-2021,16,11,22
02-02-2021,16,11,23
02-03-2021,16,10,24
02-04-2021,16,10,24
02-05-2021,16,11,25
02-06-2021,17,11,25
02-07-2021,17,11,27
02-08-2021,18,11,27
02-09-2021,18,11,28
02-10-2021,18,11,29
02-11-2021,19,11,29
02-12-2021,19,11,30
02-13-2021,20,12,31
02-14-2021,20,13,31
02-15-2021,21,13,32
02-16-2021,21,13,33
02-17-2021,21,13,33
02-18-2021,21,13,34
02-19-2021,22,13,34
02-20-2021,23,13,34
02-21-2021,23,13,35
02-22-2021,23,14,35
02-23-2021,23,14,36
02-24-2021,23,14,36
02-25-2021,24,14,36
02-26-2021,24,15,35
02-27-2021,25,15,36
