date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-24-2021,15,15,15
01-25-2021,14,13,14
01-26-2021,14,14,14
01-27-2021,13,13,13
01-28-2021,13,13,13
01-29-2021,15,15,15
01-30-2021,13,13,13
01-31-2021,12,12,12
02-01-2021,12,12,12
02-02-2021,10,10,10
02-03-2021,10,10,10
02-04-2021,10,10,10
02-05-2021,11,11,11
02-06-2021,11,10,12
02-07-2021,11,10,12
02-08-2021,11,10,12
02-09-2021,11,10,14
02-10-2021,12,10,13
02-11-2021,11,10,14
02-12-2021,11,10,13
02-13-2021,10,10,13
02-14-2021,10,8,14
02-15-2021,10,7,14
02-16-2021,10,7,14
02-17-2021,9,7,12
02-18-2021,10,6,13
02-19-2021,9,6,12
02-20-2021,9,6,12
02-21-2021,9,6,13
02-22-2021,9,6,13
02-23-2021,8,5,12
02-24-2021,8,5,12
02-25-2021,8,6,14
02-26-2021,8,6,14
02-27-2021,8,6,13
02-28-2021,8,5,12
03-01-2021,8,5,12
03-02-2021,8,5,12
03-03-2021,8,5,12
03-04-2021,7,4,12
03-05-2021,7,4,12
03-06-2021,7,4,12
03-07-2021,7,4,12
03-08-2021,7,4,12
03-09-2021,8,4,12
03-10-2021,8,4,12
03-11-2021,8,4,12
03-12-2021,8,4,12
03-13-2021,8,4,12
03-14-2021,7,3,12
03-15-2021,7,4,12
03-16-2021,7,4,12
03-17-2021,6,5,12
03-18-2021,7,5,12
03-19-2021,7,5,12
03-20-2021,7,5,10
03-21-2021,8,5,10
03-22-2021,8,5,10
03-23-2021,8,5,10
03-24-2021,8,5,10
03-25-2021,7,5,11
03-26-2021,7,4,11
03-27-2021,7,4,11
