date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
03-20-2021,84.94,,,,,,,,885,,,actual
03-27-2021,84.87,,,,,,,,872,,,actual
04-03-2021,85.08,,,,,,,,910,,,actual
04-10-2021,89.59,970,927,1033,87.65,92.45,970 [927 - 1033],89.59% [87.65% - 92.45%],1717,1370,2228,projected
04-17-2021,90.6,1063,1009,1172,87.54,95.71,1063 [1009 - 1172],90.6% [87.54% - 95.71%],1898,1349,2812,projected
04-24-2021,91.61,1164,1087,1325,87.4,100.06,1164 [1087 - 1325],91.61% [87.4% - 100.06%],2078,1324,3590,projected
05-01-2021,92.98,1318,1221,1554,87.28,105.65,1318 [1221 - 1554],92.98% [87.28% - 105.65%],2324,1303,4591,projected
05-08-2021,94.38,1433,1318,1743,87.24,112.17,1433 [1318 - 1743],94.38% [87.24% - 112.17%],2574,1296,5757,projected
05-15-2021,95.44,1531,1398,1915,86.88,118.7,1531 [1398 - 1915],95.44% [86.88% - 118.7%],2763,1232,6927,projected
05-22-2021,96.12,1574,1427,2025,86.41,124.76,1574 [1427 - 2025],96.12% [86.41% - 124.76%],2886,1147,8012,projected
