date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
02-28-2021,16,15,17
03-01-2021,15,14,16
03-02-2021,15,14,16
03-03-2021,14,13,16
03-04-2021,14,13,16
03-05-2021,14,12,16
03-06-2021,13,12,15
03-07-2021,13,11,15
03-08-2021,13,11,15
03-09-2021,12,10,15
03-10-2021,12,10,15
03-11-2021,12,9,15
03-12-2021,11,9,14
03-13-2021,11,8,14
03-14-2021,11,8,14
03-15-2021,10,8,14
03-16-2021,10,7,14
03-17-2021,10,7,13
03-18-2021,9,7,13
03-19-2021,9,7,13
03-20-2021,9,6,13
03-21-2021,9,6,12
03-22-2021,8,6,12
03-23-2021,8,6,12
03-24-2021,8,6,12
03-25-2021,8,5,11
03-26-2021,7,5,11
03-27-2021,7,5,11
03-28-2021,7,5,11
03-29-2021,7,5,10
03-30-2021,6,5,10
03-31-2021,6,5,10
04-01-2021,6,4,10
04-02-2021,6,4,10
04-03-2021,6,4,9
04-04-2021,5,4,9
04-05-2021,5,4,9
04-06-2021,5,3,9
04-07-2021,5,3,8
04-08-2021,5,3,8
04-09-2021,5,3,8
04-10-2021,5,3,8
04-11-2021,5,3,8
04-12-2021,5,3,8
04-13-2021,4,2,8
04-14-2021,4,2,8
04-15-2021,4,2,7
04-16-2021,4,2,7
04-17-2021,4,2,6
04-18-2021,4,2,6
04-19-2021,4,2,6
04-20-2021,4,2,6
04-21-2021,4,2,6
04-22-2021,3,2,6
04-23-2021,3,2,6
04-24-2021,3,1,5
04-25-2021,3,1,5
04-26-2021,3,1,5
04-27-2021,3,1,5
04-28-2021,3,1,5
04-29-2021,3,1,5
04-30-2021,3,1,5
05-01-2021,3,1,5
