date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,25,25,26
09-07-2020,26,24,27
09-08-2020,25,23,26
09-09-2020,24,22,25
09-10-2020,26,26,28
09-11-2020,24,24,25
09-12-2020,26,25,26
09-13-2020,26,26,27
09-14-2020,24,24,27
09-15-2020,26,26,26
09-16-2020,26,26,26
09-17-2020,26,26,26
09-18-2020,24,24,25
09-19-2020,23,23,25
09-20-2020,23,23,24
09-21-2020,23,22,24
09-22-2020,22,22,23
09-23-2020,21,21,23
09-24-2020,21,21,23
09-25-2020,21,21,22
09-26-2020,21,21,22
09-27-2020,20,20,22
09-28-2020,20,20,22
09-29-2020,20,20,22
09-30-2020,20,20,22
10-01-2020,20,19,23
10-02-2020,20,18,23
10-03-2020,20,18,23
10-04-2020,20,18,22
10-05-2020,20,18,22
10-06-2020,20,18,22
10-07-2020,20,18,22
10-08-2020,20,17,22
10-09-2020,20,19,23
10-10-2020,20,18,23
10-11-2020,20,18,23
10-12-2020,20,18,22
10-13-2020,20,17,22
10-14-2020,20,17,22
10-15-2020,20,17,22
10-16-2020,20,17,22
10-17-2020,19,17,22
10-18-2020,19,17,22
10-19-2020,19,16,22
10-20-2020,19,15,22
10-21-2020,18,15,24
10-22-2020,18,15,24
10-23-2020,18,15,24
10-24-2020,18,15,24
10-25-2020,18,15,24
10-26-2020,18,15,24
10-27-2020,18,15,23
10-28-2020,17,15,24
10-29-2020,16,15,24
10-30-2020,16,15,24
10-31-2020,16,15,24
11-01-2020,16,15,24
11-02-2020,16,15,25
11-03-2020,16,14,25
11-04-2020,16,14,25
11-05-2020,16,13,25
11-06-2020,16,13,25
11-07-2020,16,13,25
