date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-13-2020,10,10,11
09-14-2020,12,12,12
09-15-2020,11,11,12
09-16-2020,11,11,11
09-17-2020,11,11,11
09-18-2020,11,11,12
09-19-2020,11,11,12
09-20-2020,10,10,12
09-21-2020,10,10,11
09-22-2020,10,10,11
09-23-2020,10,10,11
09-24-2020,10,10,10
09-25-2020,10,10,10
09-26-2020,10,10,10
09-27-2020,10,10,11
09-28-2020,10,10,11
09-29-2020,10,10,11
09-30-2020,10,9,11
10-01-2020,10,9,11
10-02-2020,10,9,12
10-03-2020,10,9,12
10-04-2020,10,9,12
10-05-2020,11,9,13
10-06-2020,11,9,13
10-07-2020,11,9,13
10-08-2020,11,9,13
10-09-2020,12,10,13
10-10-2020,12,10,13
10-11-2020,11,10,13
10-12-2020,11,10,14
10-13-2020,11,10,14
10-14-2020,11,10,14
10-15-2020,11,10,14
10-16-2020,11,10,14
10-17-2020,11,10,15
10-18-2020,11,10,15
10-19-2020,11,10,15
10-20-2020,11,10,15
10-21-2020,11,10,15
10-22-2020,11,10,15
10-23-2020,11,10,15
10-24-2020,11,10,16
10-25-2020,11,9,16
10-26-2020,11,9,16
10-27-2020,11,9,16
10-28-2020,11,9,16
10-29-2020,11,9,15
10-30-2020,11,9,15
10-31-2020,10,9,15
11-01-2020,10,9,15
11-02-2020,10,9,15
11-03-2020,10,8,15
11-04-2020,10,8,14
11-05-2020,9,8,15
11-06-2020,9,8,15
11-07-2020,9,8,15
11-08-2020,9,7,15
11-09-2020,9,7,15
11-10-2020,9,7,16
11-11-2020,9,7,16
11-12-2020,9,7,16
11-13-2020,9,6,15
11-14-2020,8,6,15
