date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-22-2020,18,17,18
11-23-2020,16,16,17
11-24-2020,15,15,16
11-25-2020,16,16,16
11-26-2020,16,16,16
11-27-2020,16,16,17
11-28-2020,16,16,17
11-29-2020,16,16,16
11-30-2020,18,18,19
12-01-2020,20,20,21
12-02-2020,19,18,19
12-03-2020,18,18,18
12-04-2020,18,18,18
12-05-2020,18,18,19
12-06-2020,18,18,19
12-07-2020,18,18,19
12-08-2020,18,18,19
12-09-2020,18,17,19
12-10-2020,18,17,19
12-11-2020,18,17,20
12-12-2020,18,16,20
12-13-2020,18,16,20
12-14-2020,18,16,20
12-15-2020,18,15,20
12-16-2020,18,15,20
12-17-2020,18,15,20
12-18-2020,18,14,21
12-19-2020,17,13,21
12-20-2020,17,13,21
12-21-2020,17,13,22
12-22-2020,17,13,22
12-23-2020,17,13,22
12-24-2020,17,13,22
12-25-2020,17,12,22
12-26-2020,17,12,23
12-27-2020,17,12,23
12-28-2020,17,12,23
12-29-2020,17,12,23
12-30-2020,17,11,23
12-31-2020,17,11,23
01-01-2021,16,11,24
01-02-2021,16,11,24
01-03-2021,16,11,24
01-04-2021,16,10,25
01-05-2021,16,10,25
01-06-2021,16,10,25
01-07-2021,16,9,25
01-08-2021,16,9,25
01-09-2021,16,9,26
01-10-2021,16,9,26
01-11-2021,16,9,26
01-12-2021,16,9,26
01-13-2021,16,9,26
01-14-2021,16,8,27
01-15-2021,16,8,27
01-16-2021,16,8,27
01-17-2021,16,8,27
01-18-2021,16,8,28
01-19-2021,16,8,28
01-20-2021,16,8,28
01-21-2021,16,7,28
01-22-2021,15,7,28
01-23-2021,15,7,29
