date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-27-2020,5,5,5
09-28-2020,6,5,6
09-29-2020,6,5,6
09-30-2020,7,7,8
10-01-2020,7,7,7
10-02-2020,7,7,8
10-03-2020,7,6,8
10-04-2020,7,6,10
10-05-2020,7,6,10
10-06-2020,9,6,10
10-07-2020,9,6,10
10-08-2020,7,4,10
10-09-2020,10,6,10
10-10-2020,10,6,10
10-11-2020,10,6,10
10-12-2020,10,6,10
10-13-2020,10,6,11
10-14-2020,10,6,11
10-15-2020,10,6,11
10-16-2020,10,6,11
10-17-2020,10,6,11
10-18-2020,10,6,11
10-19-2020,10,6,12
10-20-2020,10,6,12
10-21-2020,10,6,12
10-22-2020,10,4,13
10-23-2020,10,4,13
10-24-2020,10,4,13
10-25-2020,10,4,14
10-26-2020,10,4,16
10-27-2020,10,4,16
10-28-2020,10,4,18
10-29-2020,11,4,19
10-30-2020,11,4,19
10-31-2020,11,4,20
11-01-2020,11,4,20
11-02-2020,11,4,20
11-03-2020,11,4,20
11-04-2020,11,4,22
11-05-2020,11,4,22
11-06-2020,11,4,22
11-07-2020,11,4,22
11-08-2020,11,3,24
11-09-2020,12,3,24
11-10-2020,12,3,24
11-11-2020,13,3,26
11-12-2020,13,3,26
11-13-2020,13,3,26
11-14-2020,13,3,26
11-15-2020,13,3,28
11-16-2020,13,3,29
11-17-2020,13,3,29
11-18-2020,13,3,29
11-19-2020,12,3,29
11-20-2020,11,3,30
11-21-2020,11,3,30
11-22-2020,11,3,30
11-23-2020,11,3,30
11-24-2020,11,3,30
11-25-2020,11,3,31
11-26-2020,11,3,31
11-27-2020,11,3,31
11-28-2020,11,3,31
