date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
03-14-2021,2,2,2
03-15-2021,2,2,2
03-16-2021,2,2,2
03-17-2021,2,2,2
03-18-2021,2,2,2
03-19-2021,2,2,2
03-20-2021,2,2,2
03-21-2021,2,2,2
03-22-2021,2,2,2
03-23-2021,2,2,2
03-24-2021,2,2,2
03-25-2021,2,1,2
03-26-2021,2,1,3
03-27-2021,2,1,4
03-28-2021,2,1,4
03-29-2021,2,1,4
03-30-2021,2,1,4
03-31-2021,2,1,4
04-01-2021,2,1,4
04-02-2021,2,1,4
04-03-2021,2,1,4
04-04-2021,2,1,4
04-05-2021,2,1,4
04-06-2021,2,1,4
04-07-2021,2,1,4
04-08-2021,2,1,4
04-09-2021,2,1,5
04-10-2021,2,1,5
04-11-2021,2,1,5
04-12-2021,2,1,5
04-13-2021,2,1,5
04-14-2021,3,1,6
04-15-2021,3,1,6
04-16-2021,3,1,6
04-17-2021,3,1,6
04-18-2021,3,1,7
04-19-2021,3,1,7
04-20-2021,3,1,8
04-21-2021,4,1,8
04-22-2021,4,1,9
04-23-2021,5,1,11
04-24-2021,5,1,12
04-25-2021,5,1,13
04-26-2021,5,1,14
04-27-2021,5,1,16
04-28-2021,5,1,19
04-29-2021,5,1,20
04-30-2021,5,1,23
05-01-2021,5,1,25
05-02-2021,7,1,28
05-03-2021,7,1,32
05-04-2021,7,1,35
05-05-2021,7,1,39
05-06-2021,7,2,45
05-07-2021,9,2,50
05-08-2021,10,1,56
05-09-2021,10,1,64
05-10-2021,11,1,69
05-11-2021,11,1,73
05-12-2021,12,1,77
05-13-2021,12,1,82
05-14-2021,13,1,85
05-15-2021,14,1,86
