date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-18-2020,8,7,8
10-19-2020,7,7,7
10-20-2020,8,8,8
10-21-2020,8,8,8
10-22-2020,8,8,8
10-23-2020,8,8,8
10-24-2020,9,9,9
10-25-2020,10,9,10
10-26-2020,10,10,11
10-27-2020,11,11,11
10-28-2020,12,12,13
10-29-2020,12,12,12
10-30-2020,12,12,12
10-31-2020,12,12,15
11-01-2020,15,13,16
11-02-2020,15,13,17
11-03-2020,16,15,18
11-04-2020,17,15,21
11-05-2020,17,16,21
11-06-2020,18,16,23
11-07-2020,19,17,24
11-08-2020,20,17,25
11-09-2020,21,17,27
11-10-2020,21,17,27
11-11-2020,22,16,29
11-12-2020,23,16,30
11-13-2020,24,16,32
11-14-2020,24,17,35
11-15-2020,24,17,37
11-16-2020,25,17,37
11-17-2020,26,18,40
11-18-2020,26,18,44
11-19-2020,28,18,45
11-20-2020,29,20,49
11-21-2020,31,20,52
11-22-2020,32,21,55
11-23-2020,33,21,56
11-24-2020,34,21,59
11-25-2020,34,21,62
11-26-2020,35,22,66
11-27-2020,40,22,72
11-28-2020,40,22,75
11-29-2020,41,22,83
11-30-2020,43,22,86
12-01-2020,44,23,91
12-02-2020,46,26,96
12-03-2020,51,26,103
12-04-2020,51,26,107
12-05-2020,52,28,114
12-06-2020,54,28,119
12-07-2020,55,29,124
12-08-2020,58,30,129
12-09-2020,61,31,132
12-10-2020,61,31,139
12-11-2020,63,31,144
12-12-2020,63,31,148
12-13-2020,65,31,152
12-14-2020,66,32,157
12-15-2020,66,32,161
12-16-2020,68,32,163
12-17-2020,69,32,165
12-18-2020,69,32,165
12-19-2020,73,32,167
