date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
01-17-2021,20,20,21
01-18-2021,20,19,20
01-19-2021,19,18,19
01-20-2021,19,19,19
01-21-2021,20,19,20
01-22-2021,20,19,20
01-23-2021,20,20,20
01-24-2021,19,18,19
01-25-2021,17,17,18
01-26-2021,17,16,17
01-27-2021,16,15,16
01-28-2021,15,15,16
01-29-2021,15,15,16
01-30-2021,15,14,15
01-31-2021,14,13,15
02-01-2021,14,13,15
02-02-2021,14,12,15
02-03-2021,13,12,14
02-04-2021,13,11,14
02-05-2021,12,11,14
02-06-2021,12,10,14
02-07-2021,12,10,14
02-08-2021,11,9,13
02-09-2021,11,9,13
02-10-2021,11,8,13
02-11-2021,10,8,13
02-12-2021,10,8,12
02-13-2021,10,7,12
02-14-2021,9,7,12
02-15-2021,9,7,12
02-16-2021,9,6,11
02-17-2021,8,6,11
02-18-2021,8,6,11
02-19-2021,8,5,11
02-20-2021,8,5,11
02-21-2021,7,5,10
02-22-2021,7,5,10
02-23-2021,7,4,10
02-24-2021,7,4,10
02-25-2021,6,4,9
02-26-2021,6,4,9
02-27-2021,6,3,9
02-28-2021,6,3,9
03-01-2021,5,3,8
03-02-2021,5,3,8
03-03-2021,5,3,8
03-04-2021,5,3,8
03-05-2021,5,2,7
03-06-2021,4,2,7
03-07-2021,4,2,7
03-08-2021,4,2,7
03-09-2021,4,2,7
03-10-2021,4,2,6
03-11-2021,3,2,6
03-12-2021,3,2,6
03-13-2021,3,1,6
03-14-2021,3,1,5
03-15-2021,3,1,5
03-16-2021,3,1,5
03-17-2021,3,1,5
03-18-2021,2,1,5
03-19-2021,2,1,4
03-20-2021,2,1,4
