date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
12-27-2020,24,24,24
12-28-2020,26,25,26
12-29-2020,26,25,26
12-30-2020,26,26,26
12-31-2020,30,30,30
01-01-2021,31,31,31
01-02-2021,32,31,32
01-03-2021,32,31,32
01-04-2021,32,32,33
01-05-2021,36,36,38
01-06-2021,36,36,39
01-07-2021,38,37,40
01-08-2021,39,38,40
01-09-2021,39,38,41
01-10-2021,40,38,42
01-11-2021,41,38,43
01-12-2021,41,38,45
01-13-2021,41,38,45
01-14-2021,42,39,47
01-15-2021,43,39,48
01-16-2021,43,38,50
01-17-2021,43,38,50
01-18-2021,43,37,51
01-19-2021,43,36,53
01-20-2021,44,36,54
01-21-2021,43,35,54
01-22-2021,44,35,55
01-23-2021,44,35,55
01-24-2021,44,34,57
01-25-2021,45,34,58
01-26-2021,44,33,58
01-27-2021,44,33,59
01-28-2021,45,33,60
01-29-2021,45,33,61
01-30-2021,44,32,61
01-31-2021,44,32,62
02-01-2021,44,31,62
02-02-2021,44,31,62
02-03-2021,44,31,62
02-04-2021,43,29,62
02-05-2021,43,29,62
02-06-2021,42,28,61
02-07-2021,41,27,61
02-08-2021,41,26,60
02-09-2021,40,26,60
02-10-2021,39,25,59
02-11-2021,39,25,58
02-12-2021,37,24,57
02-13-2021,37,23,55
02-14-2021,36,22,54
02-15-2021,35,22,53
02-16-2021,35,21,52
02-17-2021,32,19,50
02-18-2021,31,19,48
02-19-2021,30,18,47
02-20-2021,29,18,46
02-21-2021,28,17,43
02-22-2021,28,16,42
02-23-2021,26,15,41
02-24-2021,25,14,38
02-25-2021,24,14,37
02-26-2021,22,12,35
02-27-2021,21,12,34
