date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-11-2020,0,0,0
10-12-2020,0,0,0
10-13-2020,0,0,0
10-14-2020,0,0,0
10-15-2020,0,0,0
10-16-2020,0,0,0
10-17-2020,0,0,1
10-18-2020,1,0,2
10-19-2020,1,0,2
10-20-2020,1,0,3
10-21-2020,2,0,6
10-22-2020,4,1,7
10-23-2020,4,1,10
10-24-2020,5,1,14
10-25-2020,6,1,17
10-26-2020,6,1,19
10-27-2020,6,1,19
10-28-2020,5,1,16
10-29-2020,3,0,8
10-30-2020,1,0,1
10-31-2020,1,0,2
11-01-2020,1,0,2
11-02-2020,1,0,3
11-03-2020,1,0,3
11-04-2020,1,0,3
11-05-2020,1,0,4
11-06-2020,1,0,4
11-07-2020,1,0,4
11-08-2020,1,0,5
11-09-2020,1,0,5
11-10-2020,1,0,5
11-11-2020,2,0,5
11-12-2020,2,1,5
11-13-2020,2,1,6
11-14-2020,2,1,6
11-15-2020,2,1,6
11-16-2020,3,1,7
11-17-2020,3,1,7
11-18-2020,3,1,7
11-19-2020,4,1,8
11-20-2020,4,1,10
11-21-2020,4,1,10
11-22-2020,4,1,10
11-23-2020,5,1,11
11-24-2020,5,1,12
11-25-2020,5,1,12
11-26-2020,5,1,12
11-27-2020,5,1,13
11-28-2020,6,1,13
11-29-2020,6,1,14
11-30-2020,6,1,14
12-01-2020,6,1,14
12-02-2020,6,1,16
12-03-2020,6,1,16
12-04-2020,6,1,17
12-05-2020,6,1,17
12-06-2020,6,1,17
12-07-2020,6,1,17
12-08-2020,6,1,17
12-09-2020,6,1,19
12-10-2020,6,1,19
12-11-2020,6,1,19
12-12-2020,6,1,19
