date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
04-04-2021,11,11,11
04-05-2021,11,11,11
04-06-2021,11,11,11
04-07-2021,11,11,11
04-08-2021,11,11,11
04-09-2021,11,11,11
04-10-2021,11,11,12
04-11-2021,11,11,12
04-12-2021,12,11,12
04-13-2021,12,11,12
04-14-2021,12,11,15
04-15-2021,12,10,15
04-16-2021,12,10,15
04-17-2021,12,10,15
04-18-2021,12,9,16
04-19-2021,12,9,16
04-20-2021,11,8,17
04-21-2021,11,8,17
04-22-2021,11,7,17
04-23-2021,11,7,17
04-24-2021,11,7,17
04-25-2021,11,7,17
04-26-2021,11,7,17
04-27-2021,10,7,18
04-28-2021,10,7,19
04-29-2021,9,7,19
04-30-2021,8,7,21
05-01-2021,8,7,21
05-02-2021,8,6,21
05-03-2021,8,6,21
05-04-2021,8,6,21
05-05-2021,8,6,21
05-06-2021,8,6,20
05-07-2021,8,6,20
05-08-2021,8,6,20
05-09-2021,8,5,20
05-10-2021,8,5,20
05-11-2021,8,5,20
05-12-2021,8,5,20
05-13-2021,8,5,19
05-14-2021,8,5,19
05-15-2021,8,5,19
05-16-2021,8,5,19
05-17-2021,7,4,18
05-18-2021,7,3,17
05-19-2021,6,3,17
05-20-2021,6,3,16
05-21-2021,6,2,15
05-22-2021,5,2,15
05-23-2021,5,2,15
05-24-2021,5,2,14
05-25-2021,5,2,14
05-26-2021,5,2,14
05-27-2021,5,2,14
05-28-2021,5,2,14
05-29-2021,5,2,13
05-30-2021,5,2,11
05-31-2021,5,2,11
06-01-2021,5,2,11
06-02-2021,4,2,10
06-03-2021,3,2,9
06-04-2021,2,2,9
06-05-2021,2,2,9
