date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
03-20-2021,84.3,,,,,,,,144,,,actual
03-27-2021,84.36,,,,,,,,146,,,actual
04-03-2021,83.67,,,,,,,,123,,,actual
04-10-2021,82.69,78,72,85,81.7,83.82,78 [72 - 85],82.69% [81.7% - 83.82%],90,57,128,projected
04-17-2021,82.78,77,71,89,81.58,84.36,77 [71 - 89],82.78% [81.58% - 84.36%],93,53,146,projected
04-24-2021,82.72,80,75,98,81.7,86.18,80 [75 - 98],82.72% [81.7% - 86.18%],91,57,207,projected
05-01-2021,83.14,92,86,116,81.82,88.1,92 [86 - 116],83.14% [81.82% - 88.1%],105,61,271,projected
05-08-2021,83.73,111,101,140,81.82,90.13,111 [101 - 140],83.73% [81.82% - 90.13%],125,61,339,projected
05-15-2021,84.3,126,115,163,81.7,92.07,126 [115 - 163],84.3% [81.7% - 92.07%],144,57,404,projected
05-22-2021,84.57,134,121,176,81.7,94.16,134 [121 - 176],84.57% [81.7% - 94.16%],153,57,474,projected
