date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-10-2021,85.77,,,,,,,,111,,,actual
04-17-2021,86.13,,,,,,,,118,,,actual
04-24-2021,86.86,,,,,,,,132,,,actual
05-01-2021,85.61,92,90,99,84.99,86.08,92 [90 - 99],85.61% [84.99% - 86.08%],108,96,117,projected
05-08-2021,85.35,90,85,108,84.78,87.22,90 [85 - 108],85.35% [84.78% - 87.22%],103,92,139,projected
05-15-2021,85.3,83,77,117,83.59,91.23,83 [77 - 117],85.3% [83.59% - 91.23%],102,69,216,projected
05-22-2021,84.94,72,66,124,82.81,96.48,72 [66 - 124],84.94% [82.81% - 96.48%],95,54,317,projected
05-29-2021,84.21,63,59,124,82.13,103.13,63 [59 - 124],84.21% [82.13% - 103.13%],81,41,445,projected
06-05-2021,83.74,54,50,114,82.08,108.22,54 [50 - 114],83.74% [82.08% - 108.22%],72,40,543,projected
06-12-2021,83.17,44,39,92,81.92,106.09,44 [39 - 92],83.17% [81.92% - 106.09%],61,37,502,projected
