date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-31-2021,50,48,52
02-01-2021,46,44,47
02-02-2021,47,46,50
02-03-2021,47,47,49
02-04-2021,49,48,51
02-05-2021,49,47,50
02-06-2021,48,47,49
02-07-2021,47,46,49
02-08-2021,48,47,48
02-09-2021,43,40,44
02-10-2021,40,39,41
02-11-2021,39,38,40
02-12-2021,38,37,40
02-13-2021,38,35,39
02-14-2021,37,35,39
02-15-2021,35,33,39
02-16-2021,35,32,39
02-17-2021,34,32,38
02-18-2021,33,29,37
02-19-2021,33,28,37
02-20-2021,33,26,37
02-21-2021,31,26,37
02-22-2021,31,24,37
02-23-2021,31,23,36
02-24-2021,30,22,36
02-25-2021,29,22,36
02-26-2021,29,21,35
02-27-2021,28,20,35
02-28-2021,27,20,34
03-01-2021,26,19,34
03-02-2021,25,18,33
03-03-2021,24,18,33
03-04-2021,24,18,33
03-05-2021,23,18,32
03-06-2021,23,16,32
03-07-2021,22,14,32
03-08-2021,22,14,31
03-09-2021,21,14,31
03-10-2021,21,13,31
03-11-2021,20,13,31
03-12-2021,20,13,31
03-13-2021,20,13,31
03-14-2021,19,12,31
03-15-2021,18,11,30
03-16-2021,18,11,30
03-17-2021,18,11,29
03-18-2021,17,10,29
03-19-2021,17,9,29
03-20-2021,16,8,28
03-21-2021,16,8,28
03-22-2021,15,8,28
03-23-2021,15,8,27
03-24-2021,15,8,26
03-25-2021,15,8,26
03-26-2021,15,7,26
03-27-2021,15,7,26
03-28-2021,14,7,26
03-29-2021,14,7,26
03-30-2021,13,6,25
03-31-2021,13,6,25
04-01-2021,13,6,25
04-02-2021,13,5,25
04-03-2021,12,5,25
